field_name,occurrence_count,types,tables,positions,option_values
"高阶一C1-3信息  (A,B,C,D)",14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#10; ✅✅136教练-NEWBIBLE_（Dcode)#86; ✅✅136-WHOLE-MASTERLIST【基础-高四】#85; ✅✅136-旧Backlog【基础-高四】#72; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#46; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#132; 🖊️🖊️136-基础FINAL MASTERLIST#106; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#54; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#15; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#28; 🖊️-136-高阶一-FINAL MASTERLIST#136; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#103; 🖊️-136-高阶二-Final Masterlist.#72; 🖊️-136-高阶二-【高阶二Backlog】Bible#131,"130年尾工作忙。在Emo公司工作，工作要提升业绩，开始在学习带团队。目前没有要Mark有约。; Emo是男朋友。想要做团队，带团队的leader commission比较高，要进步沟通能力，增进人际关系。想要进步，想要让公司看到学员、自己的Team。曾经有5-6个人，现在完全没有团队了。红黑游戏看到自己之前都没有团队意识，觉得要教人累，所以只顾自己，对团队不负责任，把团队丢给leader负责，容易放弃，抗拒近距离跟人相处，团队离开了就负面，双输。; Yes; 书写有压力; 付款会一半Cash，一半transfer
住宿钱诗莹，陈培嬿，周美怡3人要一起，如果可以3人一间，浅眠; 以前对待家人没有温暖，1年回家1/2次看父母。对员工有温暖，以前员工做错事会直接骂，现在试着好好讲话。要突破事业，跟同事的人际关系可以更好。; 以前浑浑噩噩，高阶二到四事业是在Dcode工作。现在做保险，要锻炼聆听。周六晚上被P导回应，有想过放弃离开，印痕有想摧毁，妈妈很凶，常常被打骂。要放下埋怨，跟妈妈住，要跟爸爸出去吃饭。; 住宿钱诗莹，陈培嬿，周美怡3人要一起，如果可以3人一间，浅眠; 寻找更多的可能性，赚钱、跟孩子的关系。副业Bank Agency，有commission。5个孩子，最大17岁，最小7岁。大女儿17岁融洽，但有小姐的情绪。大儿子沟通有阻碍，13岁，看弟弟们都不顺眼，觉得妈妈偏心。大儿子跟二儿子11岁的关系非常糟糕。大儿子跟同学、师长关系好。更小还有2个弟弟，粘妈妈。大女儿、大儿子、二儿子看着父母婚姻破碎，小的2个脱离了。前夫会跟大女儿吃饭，小的2个弟弟很喜欢找爸爸。; 已发出; 已回复; 想再更深入地运用，继续把高阶上完。要锻炼影响力，帮助自己、身边人看结果。之前看目标会有借口，结果才是答案。要有更多的可能性可以帮助自己、团队100+人完成目标。; 想要学习，找方法，要在事业、家庭创造共赢。之前以为自己没得选择，被形势所逼，选择工作而忽略家庭，之前完全没有共赢的心态。红黑也是要赢，一直选红票，最多两败俱伤，没有要共赢。; 想要让自己更好。懂自己做的选择，做选择之前会想做了过后的甜头、代价。事业想要突破团队，带着10多个人，要突破自己的个人业绩。要突破父母的关系，不在同个城市，很少回去，基本上新年才回，之前都不联系父母，现在可以开始主动联系，但没设什么时候要做这件事。; 把以前的热情找回来，对工作、家庭。没有检测工作进度，处理事情麻木，有一群人陪伴找回自己。以前遇到事情会先放一边、自己消化，现在开始会去面对，解决不到再请教人。; 新加坡工厂上班，回来大马10年
1. 多认识人，扩充自己的视野，可以跟多人讲话，平常只有姐姐，但姐姐强势，选择性讲话
2. 跟人的沟通可以更好，紧张听不到别人讲话，会猜
3. 要赚到50k花红来装修屋子; 肉骨茶已经找到新的工人，想要做人、交流可以更好。没有聆听，两夫妻2个都爱答不理。没有安全感，不信任人，要增进人的关系。; 跟Kelly借钱。要事业进步，创业不懂怎么经营，只会自己做，要学习经营公司，让公司5年、10年目标达标，创业2年多，现在每月营业额17-20k左右，想要增加人手，但担心接单不够，要给薪水，要扩大来做。跟弟弟工作上的沟通，之前都没有结果、自己发脾气，现在每天都很积极地工作上的事情。; 顾孩子、老公 ; 高二待定"
"高阶一C1-4信息  (A,B,C,D)",14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#69; ✅✅136教练-NEWBIBLE_（Dcode)#26; ✅✅136-WHOLE-MASTERLIST【基础-高四】#116; ✅✅136-旧Backlog【基础-高四】#37; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#47; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#115; 🖊️🖊️136-基础FINAL MASTERLIST#13; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#23; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#107; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#75; 🖊️-136-高阶一-FINAL MASTERLIST#12; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#48; 🖊️-136-高阶二-Final Masterlist.#138; 🖊️-136-高阶二-【高阶二Backlog】Bible#96,14/3; 3-May-2026; 5/3/26; 已发出; 已回复
高阶一已进课室,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#110; ✅✅136教练-NEWBIBLE_（Dcode)#53; ✅✅136-WHOLE-MASTERLIST【基础-高四】#70; ✅✅136-旧Backlog【基础-高四】#126; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#116; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#34; 🖊️🖊️136-基础FINAL MASTERLIST#49; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#65; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#17; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#88; 🖊️-136-高阶一-FINAL MASTERLIST#32; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#81; 🖊️-136-高阶二-Final Masterlist.#114; 🖊️-136-高阶二-【高阶二Backlog】Bible#133,KLCP131; KLCP132; KLCP133; KLCP135; KLCP136; KLCP137; KLCP138; KLCP139; KLCP140
高阶一已进课室人数,14,formula:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#29; ✅✅136教练-NEWBIBLE_（Dcode)#160; ✅✅136-WHOLE-MASTERLIST【基础-高四】#83; ✅✅136-旧Backlog【基础-高四】#78; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#113; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#109; 🖊️🖊️136-基础FINAL MASTERLIST#65; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#121; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#82; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#74; 🖊️-136-高阶一-FINAL MASTERLIST#40; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#128; 🖊️-136-高阶二-Final Masterlist.#13; 🖊️-136-高阶二-【高阶二Backlog】Bible#106,
"高阶一来的目的、急需解决的问题  (A,B,C,D)",14,text:12; select:1; formula:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#40; ✅✅136教练-NEWBIBLE_（Dcode)#50; ✅✅136-WHOLE-MASTERLIST【基础-高四】#93; ✅✅136-旧Backlog【基础-高四】#100; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#84; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#49; 🖊️🖊️136-基础FINAL MASTERLIST#137; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#83; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#123; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#107; 🖊️-136-高阶一-FINAL MASTERLIST#92; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#11; 🖊️-136-高阶二-Final Masterlist.#95; 🖊️-136-高阶二-【高阶二Backlog】Bible#51,"130年尾工作忙。在Emo公司工作，工作要提升业绩，开始在学习带团队。目前没有要Mark有约。; Yes; 不当班; 书写有压力; 付款会一半Cash，一半transfer
住宿钱诗莹，陈培嬿，周美怡3人要一起，如果可以3人一间，浅眠; 住宿钱诗莹，陈培嬿，周美怡3人要一起，如果可以3人一间，浅眠; 健康不通过; 健康待审核; 待确认; 想再更深入地运用，继续把高阶上完。要锻炼影响力，帮助自己、身边人看结果。之前看目标会有借口，结果才是答案。要有更多的可能性可以帮助自己、团队100+人完成目标。; 未接电话; 确认; 肉骨茶已经找到新的工人，想要做人、交流可以更好。没有聆听，两夫妻2个都爱答不理。没有安全感，不信任人，要增进人的关系。; 顾孩子、老公 ; 高二待定"
高阶一确认当班人数,14,formula:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#66; ✅✅136教练-NEWBIBLE_（Dcode)#182; ✅✅136-WHOLE-MASTERLIST【基础-高四】#10; ✅✅136-旧Backlog【基础-高四】#107; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#19; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#100; 🖊️🖊️136-基础FINAL MASTERLIST#119; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#76; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#50; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#3; 🖊️-136-高阶一-FINAL MASTERLIST#126; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#96; 🖊️-136-高阶二-Final Masterlist.#108; 🖊️-136-高阶二-【高阶二Backlog】Bible#57,
"高阶一确认期别 (A,B,C,D)",14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#142; ✅✅136教练-NEWBIBLE_（Dcode)#124; ✅✅136-WHOLE-MASTERLIST【基础-高四】#68; ✅✅136-旧Backlog【基础-高四】#2; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#111; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#37; 🖊️🖊️136-基础FINAL MASTERLIST#112; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#109; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#88; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#62; 🖊️-136-高阶一-FINAL MASTERLIST#35; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#34; 🖊️-136-高阶二-Final Masterlist.#131; 🖊️-136-高阶二-【高阶二Backlog】Bible#112,0; 1; KLCP135; KLCP136; 不当班; 确认
"高阶一离开 (A,B,C,D)",14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#33; ✅✅136教练-NEWBIBLE_（Dcode)#1; ✅✅136-WHOLE-MASTERLIST【基础-高四】#61; ✅✅136-旧Backlog【基础-高四】#99; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#89; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#7; 🖊️🖊️136-基础FINAL MASTERLIST#30; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#94; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#55; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#34; 🖊️-136-高阶一-FINAL MASTERLIST#68; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#37; 🖊️-136-高阶二-Final Masterlist.#107; 🖊️-136-高阶二-【高阶二Backlog】Bible#116,高阶一守则前; 高阶一守则后第1天; 高阶一守则后第2天; 高阶一守则后第3天; 高阶一守则后第4天; 高阶一守则后第5天; 高阶四前; 高阶四后
"高阶一问卷(A,B,C,D)",14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#132; ✅✅136教练-NEWBIBLE_（Dcode)#79; ✅✅136-WHOLE-MASTERLIST【基础-高四】#97; ✅✅136-旧Backlog【基础-高四】#120; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#73; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#133; 🖊️🖊️136-基础FINAL MASTERLIST#107; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#27; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#109; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#67; 🖊️-136-高阶一-FINAL MASTERLIST#55; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#50; 🖊️-136-高阶二-Final Masterlist.#74; 🖊️-136-高阶二-【高阶二Backlog】Bible#14,No; YES; Yes
高阶三已进课室人数,14,formula:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#44; ✅✅136教练-NEWBIBLE_（Dcode)#121; ✅✅136-WHOLE-MASTERLIST【基础-高四】#100; ✅✅136-旧Backlog【基础-高四】#24; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#71; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#69; 🖊️🖊️136-基础FINAL MASTERLIST#86; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#50; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#118; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#77; 🖊️-136-高阶一-FINAL MASTERLIST#69; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#66; 🖊️-136-高阶二-Final Masterlist.#73; 🖊️-136-高阶二-【高阶二Backlog】Bible#68,
"高阶二1 Call Status (A,B,C,D)",14,text:12; select:2,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#78; ✅✅136教练-NEWBIBLE_（Dcode)#147; ✅✅136-WHOLE-MASTERLIST【基础-高四】#29; ✅✅136-旧Backlog【基础-高四】#117; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#20; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#58; 🖊️🖊️136-基础FINAL MASTERLIST#19; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#134; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#76; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#46; 🖊️-136-高阶一-FINAL MASTERLIST#29; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#30; 🖊️-136-高阶二-Final Masterlist.#14; 🖊️-136-高阶二-【高阶二Backlog】Bible#126,No; Yes
"高阶二1call  (A,B,C,D)",14,select:13; text:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 高阶二2Call; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#41; ✅✅136-WHOLE-MASTERLIST【基础-高四】#56; ✅✅136-旧Backlog【基础-高四】#74; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#99; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#96; 🖊️🖊️136-基础FINAL MASTERLIST#70; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#10; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#3; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#114; 🖊️-136-高阶一-FINAL MASTERLIST#60; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#18; 高阶二2Call#122; 🖊️-136-高阶二-Final Masterlist.#9; 🖊️-136-高阶二-【高阶二Backlog】Bible#54,No; Yes
"高阶二2Call  (A,B,C,D)",14,lookup:11; select:3,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#81; ✅✅136教练-NEWBIBLE_（Dcode)#190; ✅✅136-WHOLE-MASTERLIST【基础-高四】#131; ✅✅136-旧Backlog【基础-高四】#62; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#114; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#1; 🖊️🖊️136-基础FINAL MASTERLIST#87; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#87; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#137; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#120; 🖊️-136-高阶一-FINAL MASTERLIST#25; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#7; 🖊️-136-高阶二-Final Masterlist.#135; 🖊️-136-高阶二-【高阶二Backlog】Bible#5,No; Yes; 待Happy想想; 未上线
